date,water level
1/1/1942,406.0
1/2/1942,406.0
1/3/1942,406.2
1/4/1942,
1/5/1942,
1/6/1942,407.0
1/7/1942,408.0
1/8/1942,407.0
1/9/1942,407.0
1/10/1942,
1/11/1942,
1/12/1942,406.0
1/13/1942,406.0
1/14/1942,406.0
1/15/1942,406.0
1/16/1942,405.5
1/17/1942,406.0
1/18/1942,
1/19/1942,407.0
1/20/1942,405.7
1/21/1942,407.0
1/22/1942,406.0
1/23/1942,406.2
1/24/1942,405.5
1/25/1942,405.0
1/26/1942,404.5
1/27/1942,405.5
1/28/1942,406.8
1/29/1942,406.0
1/30/1942,405.2
1/31/1942,406.0
2/1/1942,
2/2/1942,406.5
2/3/1942,406.0
2/4/1942,405.9
2/5/1942,
2/6/1942,409.0
2/7/1942,405.0
2/8/1942,405.5
2/9/1942,406.2
2/10/1942,406.5
2/11/1942,406.8
2/12/1942,406.5
2/13/1942,406.2
2/14/1942,406.2
2/15/1942,406.0
2/16/1942,406.5
2/17/1942,405.9
2/18/1942,405.6
2/19/1942,406.0
2/20/1942,405.9
2/21/1942,406.0
2/22/1942,
2/23/1942,405.7
2/24/1942,406.8
2/25/1942,408.0
2/26/1942,406.5
2/27/1942,408.5
2/28/1942,407.4
3/1/1942,407.4
3/2/1942,405.6
3/3/1942,405.7
3/4/1942,407.6
3/5/1942,406.5
3/6/1942,406.3
3/7/1942,405.5
3/8/1942,406.2
3/9/1942,405.6
3/10/1942,406.0
3/11/1942,406.0
3/12/1942,405.5
3/13/1942,405.7
3/14/1942,405.5
3/15/1942,405.7
3/16/1942,406.0
3/17/1942,406.8
3/18/1942,405.5
3/19/1942,405.9
3/20/1942,404.5
3/21/1942,405.9
3/22/1942,405.9
3/23/1942,4063.0
3/24/1942,406.7
3/25/1942,405.7
3/26/1942,405.9
3/27/1942,404.2
3/28/1942,404.2
3/29/1942,404.2
3/30/1942,404.2
3/31/1942,405.7
4/1/1942,405.5
4/2/1942,404.2
4/3/1942,404.0
4/4/1942,404.5
4/5/1942,404.5
4/6/1942,404.0
4/7/1942,404.3
4/8/1942,404.3
4/9/1942,404.0
4/10/1942,404.3
4/11/1942,404.5
4/12/1942,404.5
4/13/1942,404.5
4/14/1942,404.5
4/15/1942,404.5
4/16/1942,
4/17/1942,406.7
4/18/1942,
4/19/1942,
4/20/1942,
4/21/1942,
4/22/1942,
4/23/1942,
4/24/1942,406.5
4/25/1942,
4/26/1942,
4/27/1942,
4/28/1942,
4/29/1942,
4/30/1942,
5/1/1942,
5/2/1942,
5/3/1942,
5/4/1942,
5/5/1942,
5/6/1942,
5/7/1942,
5/8/1942,406.7
5/9/1942,
5/10/1942,
5/11/1942,
5/12/1942,
5/13/1942,
5/14/1942,
5/15/1942,
5/16/1942,
5/17/1942,
5/18/1942,
5/19/1942,
5/20/1942,
5/21/1942,
5/22/1942,
5/23/1942,
5/24/1942,
5/25/1942,
5/26/1942,
5/27/1942,
5/28/1942,
5/29/1942,
5/30/1942,
5/31/1942,
6/1/1942,
6/2/1942,
6/3/1942,
6/4/1942,
6/5/1942,
6/6/1942,
6/7/1942,
6/8/1942,
6/9/1942,
6/10/1942,
6/11/1942,
6/12/1942,
6/13/1942,
6/14/1942,
6/15/1942,
6/16/1942,
6/17/1942,
6/18/1942,
6/19/1942,
6/20/1942,
6/21/1942,
6/22/1942,
6/23/1942,
6/24/1942,
6/25/1942,
6/26/1942,
6/27/1942,
6/28/1942,
6/29/1942,
6/30/1942,
7/1/1942,
7/2/1942,
7/3/1942,
7/4/1942,
7/5/1942,
7/6/1942,
7/7/1942,
7/8/1942,
7/9/1942,
7/10/1942,
7/11/1942,
7/12/1942,
7/13/1942,
7/14/1942,
7/15/1942,
7/16/1942,
7/17/1942,
7/18/1942,
7/19/1942,
7/20/1942,
7/21/1942,
7/22/1942,
7/23/1942,
7/24/1942,
7/25/1942,
7/26/1942,
7/27/1942,
7/28/1942,
7/29/1942,
7/30/1942,
7/31/1942,
8/1/1942,408.8
8/2/1942,
8/3/1942,
8/4/1942,
8/5/1942,
8/6/1942,
8/7/1942,
8/8/1942,
8/9/1942,
8/10/1942,
8/11/1942,
8/12/1942,
8/13/1942,
8/14/1942,
8/15/1942,
8/16/1942,
8/17/1942,
8/18/1942,
8/19/1942,
8/20/1942,
8/21/1942,
8/22/1942,
8/23/1942,
8/24/1942,
8/25/1942,
8/26/1942,
8/27/1942,
8/28/1942,
8/29/1942,
8/30/1942,
8/31/1942,
9/1/1942,
9/2/1942,
9/3/1942,
9/4/1942,
9/5/1942,
9/6/1942,
9/7/1942,
9/8/1942,
9/9/1942,
9/10/1942,
9/11/1942,
9/12/1942,
9/13/1942,
9/14/1942,
9/15/1942,
9/16/1942,
9/17/1942,
9/18/1942,
9/19/1942,
9/20/1942,
9/21/1942,
9/22/1942,
9/23/1942,
9/24/1942,
9/25/1942,
9/26/1942,
9/27/1942,
9/28/1942,
9/29/1942,
9/30/1942,
10/1/1942,
10/2/1942,
10/3/1942,
10/4/1942,
10/5/1942,
10/6/1942,
10/7/1942,
10/8/1942,
10/9/1942,
10/10/1942,
10/11/1942,
10/12/1942,
10/13/1942,
10/14/1942,
10/15/1942,
10/16/1942,
10/17/1942,
10/18/1942,
10/19/1942,
10/20/1942,
10/21/1942,
10/22/1942,
10/23/1942,
10/24/1942,
10/25/1942,
10/26/1942,
10/27/1942,
10/28/1942,
10/29/1942,
10/30/1942,
10/31/1942,
11/1/1942,
11/2/1942,
11/3/1942,
11/4/1942,
11/5/1942,
11/6/1942,
11/7/1942,
11/8/1942,
11/9/1942,
11/10/1942,
11/11/1942,
11/12/1942,
11/13/1942,
11/14/1942,
11/15/1942,
11/16/1942,
11/17/1942,
11/18/1942,
11/19/1942,
11/20/1942,
11/21/1942,
11/22/1942,
11/23/1942,
11/24/1942,
11/25/1942,
11/26/1942,
11/27/1942,
11/28/1942,
11/29/1942,
11/30/1942,
12/1/1942,
12/2/1942,
12/3/1942,
12/4/1942,
12/5/1942,
12/6/1942,
12/7/1942,
12/8/1942,
12/9/1942,
12/10/1942,
12/11/1942,
12/12/1942,
12/13/1942,
12/14/1942,
12/15/1942,
12/16/1942,
12/17/1942,
12/18/1942,
12/19/1942,
12/20/1942,
12/21/1942,
12/22/1942,
12/23/1942,
12/24/1942,
12/25/1942,
12/26/1942,
12/27/1942,
12/28/1942,
12/29/1942,
12/30/1942,
12/31/1942,
